id,title,created_at,closed_at,labels,comments,assignee
3061658902,BUG:  ImportError: cannot import name 'NaN' from 'numpy' in squeeze_pro.py,2025-05-14 02:50:31+00:00,2025-05-14 16:19:36+00:00,"['Bug', 'Needs Triage']",1,
3054604088,DOC: Broken Link in IO Tools - HDF5 Data Description,2025-05-11 00:23:23+00:00,2025-05-12 16:55:17+00:00,"['Docs', 'IO HDF5']",2,ConnorWallace15
3054181753,i want to develop one feature in pandas,2025-05-10 14:14:16+00:00,2025-05-10 14:31:47+00:00,"['Usage Question', 'Needs Triage']",2,
3052183501,ENH: Add smart_groupby() method for automatic grouping by categorical columns and aggregating numerics,2025-05-09 13:27:40+00:00,2025-05-14 18:59:15+00:00,"['Enhancement', 'Groupby', 'Closing Candidate']",3,
3052051865,BUILD: Missing Windows free-threading wheel,2025-05-09 12:40:24+00:00,2025-05-10 14:36:30+00:00,"['Build', 'Needs Triage']",2,
3051304892,BUG: ImportError: cannot import name 'NaN' from 'numpy',2025-05-09 07:40:07+00:00,2025-05-09 17:37:22+00:00,"['Bug', 'Needs Triage']",3,
3050183256,DOC: Error in Getting started tutorials > How do I read and write tabular data?,2025-05-08 21:59:48+00:00,2025-05-09 18:36:08+00:00,['Docs'],1,
3049397172,BUG: CVE-2020-13091,2025-05-08 15:40:20+00:00,2025-05-08 15:59:45+00:00,"['Bug', 'Needs Triage']",1,
3049087156,"DOC: axis argument for take says `None` is acceptable, but that is incorrect.",2025-05-08 13:54:54+00:00,2025-05-08 22:27:23+00:00,"['Docs', 'Algos']",1,arthurlw
3045379589,BUG: guess_datetime_format cannot infer iso 8601 format,2025-05-07 09:41:27+00:00,2025-05-07 17:04:01+00:00,"['Bug', 'Datetime', 'Warnings']",1,
3037427843,BUG: pd.to_datetime failing to parse with exception error 01-Jun-2025 in sequence with 31-May-2025,2025-05-03 14:04:02+00:00,2025-05-03 15:12:00+00:00,"['Bug', 'Datetime']",4,
3035796151,"BUG: Incorrect Parsing of Timestamps in pd.to_datetime with Series with format=""ISO8601""  and UTC=True",2025-05-02 11:24:44+00:00,2025-05-06 18:29:20+00:00,"['Bug', 'Datetime', 'Timezones']",3,myenugula
3028562270,not able to see the content in the dark mode,2025-04-29 14:24:33+00:00,2025-04-30 16:21:58+00:00,"['Docs', 'Duplicate Report']",3,danielpintosalazar
3028515989,BUG: dot on Arrow Series produces a Numpy object result,2025-04-29 14:11:39+00:00,2025-04-29 16:20:41+00:00,"['Bug', 'Needs Triage']",0,
3022163177,REGR: Fix signature of GroupBy.expanding,2025-04-26 17:38:41+00:00,2025-04-27 11:29:29+00:00,"['Bug', 'Groupby', 'Regression', 'Blocker', 'Window']",4,
3021572049,ENH: magic_case(),2025-04-26 07:05:56+00:00,2025-04-26 18:11:39+00:00,"['Enhancement', 'Indexing', 'Closing Candidate']",2,
3021002869,BUG: `DataFrameGroupBy.groups` fails when Categorical indexer contains NaNs and `dropna=False`,2025-04-25 20:46:45+00:00,2025-04-28 16:47:11+00:00,"['Bug', 'Groupby', 'Missing-data', 'Categorical']",1,
3018111045,ENH: th elements from Styler need the row scope,2025-04-24 18:23:37+00:00,2025-04-24 19:03:21+00:00,"['Enhancement', 'Needs Triage']",1,
3014981266,BUG: assignment via loc silently fails with differing dtypes,2025-04-23 18:48:39+00:00,2025-04-26 12:21:38+00:00,"['Bug', 'Dtype Conversions', 'Closing Candidate']",13,
3014914579,BUG: Series of bools with length mismatch does not raise when used with `.iloc`,2025-04-23 18:24:12+00:00,2025-04-24 20:20:13+00:00,"['Bug', 'Indexing']",1,
3013322994,BUG: Concatenating data frames with `MultiIndex` with `datetime64[ms]` dtype introduces `NaT` values to the index,2025-04-23 09:29:06+00:00,2025-04-24 20:18:43+00:00,"['Bug', 'Datetime', 'MultiIndex']",1,
3011329646,BUG: Period datatype data gets mangled up in pivoting operation,2025-04-22 14:49:35+00:00,2025-04-22 16:01:08+00:00,"['Bug', 'Needs Triage']",1,
3010189907,ENH: IDEA  Introduce axis→0/axis→1 arrow aliases to disambiguate direction vs. label operations,2025-04-22 07:31:10+00:00,2025-04-23 16:19:48+00:00,"['Enhancement', 'Needs Discussion', 'Closing Candidate']",4,
3007041632,ENH: grep-like select columns of a DataFrame by a part of their names,2025-04-20 14:10:10+00:00,2025-04-21 15:49:27+00:00,"['Enhancement', 'Indexing', 'Needs Info']",3,
3006986859,ENH: inspect duplicate rows for columns that vary,2025-04-20 12:11:06+00:00,2025-04-21 15:50:36+00:00,"['Enhancement', 'Groupby', 'Closing Candidate']",2,
3006638852,BUG: duplicated() is reporting rows as duplicates when they aren't upon visual inspection.,2025-04-19 20:18:24+00:00,2025-04-19 21:02:03+00:00,"['Bug', 'Needs Triage', 'Closing Candidate']",2,
3006338577,BUG: no last function in window rolling,2025-04-19 10:00:37+00:00,2025-04-21 02:52:26+00:00,"['Bug', 'Needs Info', 'Window', 'Closing Candidate']",3,
3006331148,"BUG: to_latex, when escaped=True, doesn't escape columns name",2025-04-19 09:43:14+00:00,2025-04-19 12:37:13+00:00,"['Bug', 'Duplicate Report', 'Styler']",4,
3003688791,50000,2025-04-18 00:56:25+00:00,2025-04-18 16:10:01+00:00,[],0,
3003375577,ENH: Add Optional Schema Definitions to Enable IDE Autocompletion,2025-04-17 20:23:14+00:00,2025-04-17 20:56:31+00:00,"['Enhancement', 'Needs Triage']",1,
3001147839,DOC: DataFrameGroupBy.filter documentation is misleading,2025-04-17 01:35:00+00:00,2025-04-17 04:34:38+00:00,"['Docs', 'Needs Triage']",1,
2998393374,"I would like to join the pandas community, but the Slack link is broken and I cannot join.",2025-04-16 05:05:35+00:00,2025-04-17 16:11:22+00:00,[],3,
2997926068,BUG: Underscores aren't escaped in LaTeX outputs,2025-04-15 23:52:45+00:00,2025-04-15 23:55:10+00:00,"['Bug', 'Needs Triage']",1,
2997798963,BUG: df.assign no longer works with multilevel columns,2025-04-15 22:38:25+00:00,2025-04-16 13:40:29+00:00,['Bug'],4,
2996968254,BUG: `values` argument ignored when also supplied to `index`/`columns` in `pivot_table`,2025-04-15 16:18:14+00:00,2025-04-23 21:47:19+00:00,"['Bug', 'Reshaping']",0,
2990561056,DOC: to_json for stream object,2025-04-12 16:35:16+00:00,2025-04-14 14:03:02+00:00,"['Docs', 'IO JSON', 'Closing Candidate']",2,
2990463851,WEB: Remove NumFOCUS and Coiled as sponsors,2025-04-12 13:03:38+00:00,2025-04-13 15:39:45+00:00,['Web'],12,
